KALCODE,Result
03010105,"[1, 0]"
03010301,"[0, 1, 2]"
03010302,"[2, 0, 1]"
03010305,"[1, 0, 1, 2, 1]"
03020101,"[1, 0, 2]"
03020104,"[0, 0, 2, 0, 0, 1]"
03020114,[0]
03020115,"[1, 0, 2]"
03020201,[0]
03020205,"[1, 0]"
03030101,"[0, 0, 1, 2]"
03030104,"[0, 1, 2]"
03030105,"[1, 0, 2]"
03030107,"[2, 0, 1]"
03030201,"[2, 1, 0]"
03030203,"[1, 0, 2]"
03030204,"[0, 1, 1, 2]"
03030301,"[0, 2, 1]"
03030304,"[0, 2, 0, 0, 0, 1, 0]"
03030401,"[1, 0, 0, 2]"
03030402,"[1, 0, 2, 0]"
03030403,"[0, 0, 2, 1]"
03030405,"[0, 0, 0, 2, 1]"
03030409,"[0, 2, 1, 0, 2]"
03030412,"[1, 2, 0]"
03040000,[0]
03050101,"[1, 2, 0]"
03050103,"[0, 1]"
03050201,"[0, 1]"
03050202,"[1, 2, 0]"
03050206,"[1, 0]"
03050301,"[0, 1, 2]"
03050303,"[1, 0]"
03050304,"[1, 2, 1, 0]"
04010001,"[1, 0, 2]"
04010002,"[0, 1]"
04010003,[0]
04010004,"[2, 0, 1]"
04010008,"[0, 1, 2, 0]"
04010009,"[1, 2, 0]"
05010101,"[2, 2, 1, 2, 0]"
05010102,"[1, 0]"
05010201,"[0, 0, 2, 1, 0]"
05010203,"[0, 1, 2, 1]"
05010205,"[2, 1, 2, 0, 2]"
05010208,"[0, 0, 1, 2]"
05010210,"[2, 1, 0, 1, 1]"
05010211,"[2, 2, 2, 1, 2, 0]"
05020101,"[0, 2, 0, 1, 0]"
05020104,"[2, 2, 0, 1]"
05020106,"[0, 0, 0, 2, 1]"
05020110,"[0, 0, 1, 2, 0]"
05020111,"[2, 1, 0]"
05020112,"[2, 1, 2, 0]"
05020113,"[2, 0, 1]"
05020201,"[1, 0]"
05030101,"[0, 0, 0, 0, 1, 2, 2]"
05030102,"[0, 1, 0, 0, 2]"
05030103,"[1, 0, 2]"
05030105,"[0, 0, 2, 2, 2, 1, 0]"
05030201,"[2, 0, 1, 1]"
05030203,"[0, 1, 2]"
05030204,"[2, 1, 0, 2]"
05030206,"[2, 1, 2, 0, 2]"
05030301,"[1, 0, 2, 0]"
05030302,"[1, 0, 2]"
05030304,"[2, 1, 0]"
05030305,"[2, 0, 0, 1, 0, 0]"
05030401,"[0, 1, 0, 2, 1, 2]"
05030402,"[2, 0, 0, 1, 0]"
05030403,"[0, 0, 2, 2, 1]"
05030501,"[0, 1, 2, 2, 2, 2]"
05030503,"[2, 0, 0, 1]"
05030507,"[1, 2, 1, 1, 0]"
06010101,"[0, 2, 1]"
06010103,"[0, 1, 2, 1]"
06010201,"[1, 0]"
06010206,"[1, 0]"
06020101,"[0, 1, 0, 2]"
06020102,"[2, 1, 0, 1, 1]"
06020104,"[1, 1, 0, 1, 2]"
06020201,"[0, 2, 1, 0]"
06020204,"[1, 0, 2]"
06030102,[0]
06040001,"[0, 2, 1, 2, 2, 2, 2]"
06040002,"[2, 1, 0, 1, 1]"
06040004,"[0, 2, 0, 0, 0, 1, 0]"
06040005,"[0, 2, 0, 1, 0]"
06040006,"[2, 0, 1, 0, 0]"
06040008,"[2, 1, 0]"
07010100,"[0, 0, 0, 2, 0, 0, 1, 0]"
07020101,"[2, 1, 1, 0, 1, 1]"
07020201,"[1, 0, 0, 1, 1, 2, 0]"
07030101,"[1, 2, 0]"
07030103,"[0, 0, 1, 0, 2, 0, 0]"
07030201,"[0, 2, 1]"
07030202,"[1, 2, 1, 1, 0]"
07030301,"[2, 1, 1, 0, 1, 1]"
07030302,"[0, 2, 1]"
07030305,"[0, 1]"
07030401,"[2, 0, 0, 1]"
07030403,"[0, 1, 2]"
07030501,"[0, 1, 0, 2, 0, 0, 0]"
07030503,"[0, 2, 1]"
07030601,"[1, 2, 0]"
07040101,"[1, 1, 2, 1, 0, 1, 1]"
07040102,"[1, 2, 2, 1, 2, 0]"
07040103,"[0, 2, 0, 1, 0]"
07040104,"[2, 2, 2, 1, 2, 0, 2]"
07040201,"[1, 0, 2, 0]"
07040202,"[0, 2, 0, 1]"
07040203,"[0, 1, 2, 1]"
07040301,"[0, 1, 1, 1, 1, 1, 2, 1, 1]"
07040302,"[2, 0, 0, 1, 0]"
07050101,"[0, 0, 0, 2, 1, 0]"
07050102,"[0, 2, 1, 0, 2]"
07050103,"[0, 1, 0, 2, 0]"
07050201,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
07050202,"[0, 2, 2, 2, 1]"
07050301,"[0, 0, 2, 0, 1]"
07050302,"[0, 1]"
07050303,"[0, 2, 1, 2, 2]"
07060101,"[0, 0, 0, 2, 0, 1, 0, 0]"
07060102,"[0, 0, 2, 0, 1]"
07060103,"[0, 1, 0, 0, 1, 0, 2, 0]"
07060104,"[2, 2, 2, 0, 2, 0, 2, 2, 1]"
07060201,"[0, 2, 0, 0, 2, 0, 1]"
07060202,"[2, 0, 0, 0, 1, 0]"
07060203,"[0, 1, 0, 0, 0, 0, 0, 0, 2]"
07060206,"[0, 2, 2, 1]"
07060301,"[1, 1, 1, 1, 1, 0, 1, 1, 2, 1]"
07060302,"[2, 0, 1, 0, 0]"
07060303,"[1, 0, 0, 2, 0, 0, 0]"
07060304,"[0, 0, 1, 2]"
07070000,"[2, 0, 1]"
07080101,"[2, 1, 1, 1, 0, 1]"
07090101,"[0, 1, 2, 0, 0, 0, 0]"
07090103,"[2, 1, 0, 1, 1]"
07090104,"[2, 0, 0, 1, 0, 0, 0, 0]"
07090105,"[0, 2, 1, 2, 2]"
07090106,"[1, 2, 0, 0, 0, 0]"
07090107,"[1, 0, 1, 1, 0, 2, 1]"
07090201,"[2, 2, 0, 0, 1]"
07090202,"[2, 0, 2, 1]"
07090401,"[0, 1]"
07090501,"[1, 0]"
07090502,"[2, 2, 0, 1, 0, 2, 2]"
07090504,"[2, 2, 0, 1, 2]"
07090601,"[0, 1]"
07090701,"[1, 0, 2, 1, 1, 1]"
07090702,"[2, 1, 0, 0, 0, 2]"
07100101,"[0, 2, 0, 0, 0, 0, 1]"
07100201,"[2, 2, 0, 1]"
07100301,"[0, 2, 0, 0, 0, 1]"
07110101,"[0, 1, 0, 0, 2]"
07110301,"[0, 0, 2, 0, 1]"
07120101,"[0, 1, 0, 0, 2]"
07120201,"[2, 1, 0, 0, 0, 0, 0]"
07120301,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1]"
07120302,"[0, 1]"
07120303,"[0, 2, 0, 0, 0, 1]"
07120304,"[1, 1, 2, 0, 1, 1]"
07130101,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
07130102,"[2, 2, 2, 2, 1, 2, 0]"
07130201,"[0, 0, 1, 0, 2, 0]"
07130203,"[1, 1, 2, 1, 1, 0, 1]"
07130204,"[2, 2, 0, 2, 1]"
07130205,"[0, 1, 0, 2]"
07130301,"[2, 0, 1, 1]"
07130302,"[2, 1, 2, 2, 2, 0]"
07130305,"[0, 2, 0, 2, 2, 1, 0]"
07140101,"[1, 2, 1, 1, 0]"
07140201,"[1, 1, 0, 2]"
07140204,"[0, 0, 0, 0, 1, 2, 0]"
07140301,"[0, 2, 0, 1, 0]"
07140302,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
07140303,"[0, 0, 2, 1, 0]"
08010101,"[2, 0, 0, 2, 1, 0]"
08010102,"[1, 0]"
08010111,"[1, 0]"
08010201,"[2, 1, 0, 0, 0, 0]"
08010202,"[1, 2, 0, 1, 1, 1]"
08010203,"[1, 1, 2, 0]"
08010401,"[1, 0, 1, 2]"
08010501,[0]
08020101,"[0, 0, 1, 0, 0, 2, 0, 2, 2, 0, 0, 0]"
08020102,"[0, 2, 0, 1]"
08020103,"[0, 2, 0, 1, 0]"
08020106,"[2, 0, 2, 1, 2, 2]"
08020201,"[1, 2, 0, 2]"
08020203,"[0, 1]"
08020205,"[1, 0, 0, 2, 0, 0]"
08020206,"[0, 1, 2, 0, 1, 0]"
08020301,"[1, 2, 1, 0]"
08020302,"[2, 0, 1]"
08020303,"[0, 0, 2, 1, 0]"
08020304,"[0, 1]"
08020401,"[1, 1, 1, 2, 0]"
08020402,"[1, 1, 0, 1, 2]"
08020403,"[1, 2, 1, 1, 0, 0]"
08020404,"[2, 1, 0]"
08020405,"[1, 1, 2, 1, 0]"
08030101,"[1, 0, 1, 2, 1, 1, 0]"
08030104,"[1, 2, 0]"
08030105,"[0, 1, 2]"
08030201,"[1, 0, 1, 2]"
08030202,"[0, 0, 1, 2, 0]"
08030203,"[0, 0, 0, 1, 2]"
08030204,"[0, 1, 2, 1, 0, 0]"
08030205,"[1, 0, 2, 0, 0]"
08030301,"[1, 0, 0, 2]"
08030302,"[1, 1, 2, 1, 1, 1, 0, 1, 1]"
08030303,"[2, 2, 1, 0, 2]"
09010101,"[1, 0, 2, 0, 0, 2]"
09010106,"[1, 0, 2]"
09010109,"[0, 0, 2, 1]"
09010110,[0]
09010201,"[0, 2, 1]"
09010202,"[0, 2, 1]"
09010204,"[0, 1, 2, 0]"
09010205,"[2, 1, 2, 0]"
09010301,"[1, 0]"
09010408,[0]
09010409,"[0, 1]"
09010410,"[0, 1]"
09010415,[0]
09010501,[0]
09010601,"[0, 2, 1]"
09010604,"[0, 0, 1, 2]"
09010605,"[2, 1, 0, 1]"
09010607,"[1, 2, 1, 1, 0]"
09010701,"[2, 1, 0]"
09020101,"[2, 0, 0, 0, 1]"
09020103,"[0, 0, 2, 0, 1, 0]"
09020106,"[0, 2, 1]"
09020108,"[2, 1, 0, 0]"
09020110,"[0, 2, 0, 1]"
09020201,"[2, 0, 1, 0, 0, 0]"
09020202,"[1, 0]"
09020301,"[1, 0]"
09020401,"[1, 1, 2, 0]"
09020402,"[2, 2, 2, 2, 0, 1]"
10010101,"[0, 1, 2, 0, 0, 0]"
10010102,"[0, 1, 2, 2, 2]"
10010103,"[1, 2, 1, 1, 0]"
10010106,"[1, 2, 1, 1, 0]"
10010107,"[0, 2, 1]"
10010108,"[1, 0, 2, 1]"
10010201,"[0, 2, 0, 0, 1, 2]"
10010202,"[1, 1, 2, 0]"
10010204,"[2, 0, 2, 1, 0]"
10020101,"[2, 0, 1]"
10020102,"[2, 0, 1, 0]"
10020103,"[0, 1, 1, 0, 2, 0, 0]"
10020104,"[1, 2, 1, 1, 1, 0]"
10020105,"[0, 2, 1, 0]"
10020106,"[1, 1, 0, 2, 0]"
10020107,"[0, 2, 1]"
10020109,"[2, 1, 0]"
10020110,"[2, 1, 0, 2]"
10020113,"[0, 0, 2, 1]"
10020114,"[1, 1, 2, 0]"
10020201,"[0, 0, 1, 2]"
10020206,[0]
10020211,"[1, 0]"
10030101,"[1, 0, 1, 2, 1, 1, 1, 1, 1]"
10030102,"[1, 2, 0]"
10030201,"[2, 0, 2, 0, 0, 2, 2, 1, 2, 2]"
10030202,"[0, 1, 1, 2]"
10030203,"[1, 0, 2, 2, 2, 0]"
10030204,"[0, 1, 1, 2, 1, 1, 2, 1]"
10030301,"[0, 1, 1, 2]"
10030303,"[1, 2, 1, 0]"
10030401,"[2, 0, 0, 0, 1, 0, 1]"
10030404,"[0, 1, 0, 0, 2]"
10030406,"[1, 2, 2, 1, 0, 2]"
10030407,"[2, 1, 0, 0]"
10030501,"[0, 2, 2, 2, 0, 1]"
10030503,"[0, 2, 0, 0, 1]"
10030504,"[0, 0, 2, 1]"
10030505,"[2, 2, 1, 0, 2]"
10040101,"[1, 0, 0, 2, 0]"
10040102,"[0, 1, 2, 0]"
10040104,"[1, 0, 2, 1, 1]"
10040105,"[0, 0, 2, 1, 0]"
10040106,"[1, 2, 2, 0, 2]"
10040108,"[0, 0, 1, 2]"
10040110,"[1, 0, 0, 2]"
10040111,"[1, 2, 0, 2, 2]"
10040201,"[1, 1, 2, 1, 0, 1, 1]"
10040205,"[1, 0]"
10040206,"[2, 0, 0, 1]"
11010101,"[0, 0, 2, 0, 1, 0, 0]"
11010201,"[0, 1, 2, 1]"
11010204,"[2, 1, 0, 1]"
11010206,"[0, 1, 2]"
11010208,"[2, 1, 0, 1, 0]"
11010301,"[2, 1, 0]"
11010401,"[1, 0, 2]"
11010403,"[0, 2, 1]"
11010501,"[1, 0, 1, 1, 2, 0, 0]"
11010502,"[1, 0]"
11010503,"[0, 0, 0, 1, 2]"
11010504,"[0, 1, 2, 0, 1]"
11010601,"[2, 1, 0, 2, 2]"
11020101,"[0, 0, 0, 2, 1]"
11020201,"[1, 2, 0]"
11020202,"[2, 1, 0]"
11020203,"[2, 1, 0]"
11020205,"[2, 0, 0, 1]"
11020301,"[1, 2, 1, 1, 1, 0]"
11020302,"[0, 1, 2, 0]"
11020303,"[0, 0, 0, 1, 0, 0, 2]"
11020304,"[2, 1, 2, 2, 0]"
11020305,"[1, 2, 2, 0]"
11020306,"[1, 1, 1, 1, 2, 1, 1, 0]"
11030101,"[2, 0, 2, 1]"
11030201,"[0, 1, 2, 0, 0]"
11030301,"[2, 2, 0, 1]"
11030304,"[1, 2, 0]"
11030401,"[1, 2, 1, 1, 0]"
11030402,"[2, 2, 0, 1]"
11030403,"[0, 1, 1, 0, 2, 1]"
11030404,"[0, 0, 0, 0, 1, 2, 0]"
12010101,"[0, 1, 0, 0, 2, 0]"
12010401,"[0, 0, 2, 1, 0]"
12010402,"[0, 0, 1, 1, 2]"
12010601,"[0, 0, 2, 0, 1, 0]"
12010605,"[1, 0, 2, 1, 0, 1]"
12010606,"[1, 0, 1, 2]"
12010609,"[1, 0, 2]"
12020101,"[1, 2, 0, 2, 0]"
12020103,"[0, 2, 1]"
12020202,"[2, 0, 1, 1]"
12020203,"[0, 1, 2, 2]"
12020204,"[1, 0, 2, 1]"
12020301,"[0, 1]"
12020303,"[0, 2, 0, 1]"
12020401,"[2, 0, 1, 0, 0]"
12030101,"[2, 1, 1, 0, 1, 1, 1]"
12030104,"[1, 1, 0, 1, 2]"
12030202,"[0, 2, 0, 1]"
12030206,"[0, 1]"
12030301,"[2, 1, 0, 2]"
12030302,"[0, 1, 2, 0, 1]"
12030303,"[0, 2, 1]"
12030307,"[0, 1, 0, 2]"
12030308,"[1, 2, 0, 0]"
12030401,"[1, 2, 1, 1, 1, 0, 1]"
12030405,"[1, 0, 0, 0, 2]"
12030407,"[2, 1, 0]"
12040101,"[2, 0, 0, 1]"
12040103,"[2, 0, 1]"
12040106,"[0, 1, 2]"
12040107,"[0, 2, 1]"
12040108,"[0, 0, 2, 2, 1]"
12040201,"[1, 2, 0, 0]"
12040202,"[0, 2, 1, 0, 0]"
12040207,"[0, 1, 1, 2, 2, 1]"
12040208,"[1, 0, 2, 1]"
12050101,"[2, 0, 0, 0, 0, 0, 1, 0]"
12050102,"[1, 0, 0, 0, 0, 2]"
12050103,"[2, 1, 0, 0, 0]"
12050104,"[1, 2, 2, 0, 2, 2]"
12050105,"[2, 2, 1, 0, 2, 2]"
12050107,"[0, 2, 0, 0, 1, 0, 0]"
12050108,"[0, 0, 1, 2]"
12050109,"[1, 0, 0, 2]"
12050201,"[0, 2, 1, 0, 0, 0, 0]"
12050203,"[0, 0, 1, 0, 2]"
12050204,"[0, 0, 1, 2, 0, 0]"
12050205,"[1, 0, 2]"
12050206,"[1, 2, 0, 0, 0]"
12050301,[0]
12050305,"[0, 1, 2]"
12050306,"[1, 0, 2, 0]"
12060101,"[0, 2, 2, 1, 2]"
12060105,"[1, 2, 1, 2, 1, 0]"
12060107,"[1, 2, 1, 1, 1, 0]"
12060108,"[2, 1, 1, 1, 0, 1, 1]"
12060113,"[0, 1, 1, 1, 2]"
12060201,"[0, 1]"
12070101,"[0, 2, 1, 0, 2, 0, 0, 0, 0, 0]"
12070102,"[0, 1, 1, 2, 1, 1]"
12070103,"[0, 1, 0, 2, 2]"
12070105,"[1, 0]"
12070401,"[2, 0, 1]"
12070403,"[0, 1, 2]"
12070405,"[0, 0, 2, 1, 2]"
12070406,"[2, 2, 0, 2, 1, 1]"
12070407,"[0, 2, 1, 0, 0]"
12070501,"[2, 1, 0, 1]"
12070503,"[2, 0, 1]"
12070505,"[0, 1, 2, 1]"
12070506,"[2, 0, 1]"
13010101,"[0, 0, 0, 2, 0, 0, 0, 1]"
13010102,"[2, 1, 2, 0, 2]"
13010103,"[0, 0, 0, 0, 2, 1]"
13010104,"[0, 0, 2, 1, 0, 0]"
13010105,"[2, 2, 2, 2, 1, 2, 0]"
13010107,"[2, 2, 2, 2, 2, 2, 0, 1]"
13010201,"[0, 1, 2, 0, 0, 0]"
13010204,"[1, 2, 0]"
13010301,"[2, 2, 0, 1]"
13010302,"[1, 2, 0]"
13010401,"[1, 0, 2]"
13020101,"[0, 0, 0, 2, 1]"
13020102,"[1, 0]"
13020103,"[1, 2, 0]"
13020104,"[2, 0, 1]"
13020107,"[2, 1, 0, 0, 0]"
13020108,"[1, 0]"
13020201,"[1, 1, 1, 2, 0, 0]"
13020202,"[0, 1, 2, 1, 0]"
13020203,"[2, 2, 0, 1, 1]"
13020204,"[0, 0, 0, 2, 1]"
13020301,"[0, 0, 0, 2, 0, 1, 0, 0]"
13020302,"[0, 2, 1]"
13030101,"[2, 0, 0, 0, 0, 1]"
13030102,"[1, 2, 0, 0]"
13030103,"[1, 0]"
13030104,"[0, 1, 1, 2]"
13030106,"[2, 0, 1, 1]"
13030107,"[1, 0, 0, 2]"
13030108,"[0, 2, 1]"
13030203,"[0, 1]"
13030205,[0]
13030206,"[0, 2, 1]"
13040101,"[0, 0, 2, 1]"
13040102,"[0, 2, 1, 2]"
13040104,"[1, 2, 0]"
13040106,"[0, 1]"
13040107,"[1, 2, 1, 0, 1]"
13040108,"[0, 1, 2, 2]"
13040109,"[1, 0, 2]"
13040201,"[1, 0, 2]"
13040202,"[0, 1, 2]"
13040203,"[0, 1, 2, 1]"
13040205,"[2, 2, 2, 0, 2, 1, 2]"
13040301,"[0, 0, 1, 0, 2, 1]"
13040302,"[0, 2, 0, 1]"
13040305,"[1, 1, 0, 2]"
13040306,"[0, 0, 0, 2, 1]"
13050101,"[2, 0, 1]"
13050102,"[2, 1, 2, 0]"
13050104,"[2, 1, 0, 1, 1]"
13050201,"[0, 1, 2]"
13050202,"[0, 1, 2, 1]"
14010101,"[2, 2, 0, 1, 1, 1, 1]"
14010105,"[2, 0, 1]"
14010107,"[1, 0]"
14010108,"[0, 2, 1]"
14010109,"[0, 0, 2, 1]"
14010110,"[2, 1, 0, 1]"
14010111,[0]
14010115,[0]
14010117,"[2, 1, 0, 0]"
14010201,"[0, 1]"
14010301,"[2, 2, 1, 0]"
14010303,"[1, 0]"
14010401,"[1, 1, 0, 2, 1]"
14010406,[0]
14010503,"[0, 2, 1]"
14010504,[0]
14010507,"[2, 1, 1, 1, 0]"
14010510,"[0, 1]"
14010512,"[0, 1]"
14030102,[0]
14030201,"[1, 0]"
14030202,"[1, 0]"
14030203,"[1, 0]"
14030401,"[0, 1]"
14030501,"[0, 1]"
14040101,"[2, 1, 1, 0]"
14040102,"[1, 2, 0]"
14040104,"[0, 1]"
14040108,[0]
14040110,"[0, 1]"
14040201,"[1, 1, 2, 0]"
14040203,"[2, 1, 0, 0]"
14040301,"[0, 1]"
15010101,"[1, 1, 2, 0]"
15010102,"[0, 2, 0, 1]"
15010103,"[0, 1, 2]"
15010104,"[1, 0]"
15010109,"[1, 0, 1, 2]"
15010112,"[0, 2, 1]"
15010405,[0]
15010503,[0]
15010706,"[1, 0]"
15010801,"[2, 1, 0, 1]"
15010804,"[1, 0]"
15020101,"[0, 1, 2, 0]"
15020201,"[2, 1, 0]"
16010101,"[1, 0, 0, 0, 2, 0, 0]"
16010201,"[2, 1, 1, 1, 0, 1]"
16010204,"[2, 1, 0, 1]"
16010208,"[2, 1, 0]"
16010301,"[1, 2, 0, 0]"
16010303,"[0, 1]"
16010401,"[1, 0]"
16010801,"[1, 2, 0, 0, 0]"
16010802,"[1, 0, 2, 0]"
16010803,"[1, 0, 2, 0]"
16010901,"[1, 2, 1, 0]"
16020101,[0]
17010101,"[1, 0]"
17010107,"[1, 0, 1, 2]"
17010214,"[1, 0]"
17010216,"[0, 1]"
17010301,"[0, 1, 0, 2]"
17010302,"[0, 1, 2]"
17010303,"[0, 1, 2]"
17010306,"[0, 1, 2]"
17010308,[0]
17010309,"[2, 1, 0, 0]"
17010401,"[2, 2, 0, 2, 1]"
17010403,"[1, 0, 2]"
17010411,"[0, 2, 1, 0]"
17010412,"[2, 0, 1]"
17020101,"[1, 0, 2]"
17020102,"[0, 2, 0, 1]"
17020105,"[2, 0, 1]"
17020207,[0]
17020208,[0]
17020601,"[0, 1, 2]"
17020602,"[0, 2, 1, 1]"
17020606,"[1, 2, 0]"
17030101,"[1, 0]"
17030111,"[0, 1]"
18010101,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
18010103,"[0, 2, 0, 0, 1]"
18010104,"[1, 1, 2, 0, 1, 1]"
18010105,"[2, 0, 1, 2, 2]"
18010201,"[2, 0, 2, 0, 0, 1, 0, 2]"
18010202,"[1, 1, 0, 2, 1, 1]"
18010203,"[2, 1, 2, 0]"
18010301,"[2, 2, 0, 2, 1]"
18010501,"[0, 1, 0, 0, 0, 2, 0]"
18010505,"[0, 1]"
18010508,"[1, 0, 2, 1]"
18010510,"[0, 0, 1, 2, 0]"
18010512,"[1, 2, 0]"
18010602,"[1, 0, 2]"
18010603,"[1, 0]"
18020101,"[0, 1]"
18030107,[0]
18030118,"[1, 0]"
18030201,[0]
18040101,"[1, 2, 0]"
18040213,[0]
18050101,"[2, 0, 0, 1]"
18050102,"[0, 1, 2]"
18050106,"[0, 2, 2, 1, 2, 2]"
18050108,"[0, 1]"
18050109,"[1, 0]"
18050201,"[0, 1, 2]"
18050202,"[2, 1, 0]"
18050305,[0]
18050401,[0]
18060101,"[0, 1]"
18060114,"[1, 0]"
18070101,[0]
18070201,[0]
18070202,[0]
18080101,"[1, 0]"
18080107,"[2, 1, 0]"
18080201,[0]
19010101,"[1, 0, 1, 1, 1, 1, 1, 1, 2, 1]"
19010103,"[1, 2, 0, 2]"
19010104,"[2, 1, 0, 0]"
19010201,"[2, 2, 1, 0, 0]"
19010301,"[1, 0, 2]"
19010302,"[0, 0, 2, 0, 1]"
19010304,"[1, 0]"
19010403,"[2, 0, 1]"
19010501,"[2, 1, 1, 0, 1]"
19010503,"[0, 1, 2, 1]"
19010505,"[1, 2, 0, 2, 2]"
19020101,"[0, 1, 2]"
19020201,"[0, 1, 2]"
19020204,"[2, 1, 0]"
19030102,[0]
19030111,"[0, 1]"
19030201,"[1, 0]"
19040101,"[0, 1, 1, 2, 1]"
19040201,"[0, 0, 2, 1]"
19040202,"[1, 0, 1, 2, 1]"
19040205,"[1, 0, 0, 2]"
19040206,"[1, 0, 0, 0, 2, 0]"
19040207,"[1, 0, 2]"
19040401,"[0, 1, 2, 2, 2]"
20010101,"[0, 2, 1]"
20010104,"[1, 2, 1, 0]"
20010107,"[0, 1, 2]"
20010109,"[1, 0]"
20010203,"[0, 1]"
20010205,"[1, 0]"
20010501,"[1, 0, 2, 0]"
20010503,"[1, 0]"
20020101,"[2, 0, 1]"
20020108,"[1, 0]"
20020109,"[1, 2, 0]"
20020110,"[1, 0, 2]"
20020111,"[1, 0]"
20020112,"[2, 0, 1, 0]"
20020119,"[1, 0]"
20020201,"[0, 1]"
20020202,"[0, 1]"
20030101,"[0, 1]"
20030140,"[0, 1]"
20030204,[0]
21010101,"[1, 0, 2]"
21010103,"[0, 1, 0, 2, 0]"
21010104,"[2, 0, 1]"
21010105,"[1, 0]"
21010201,"[0, 1, 2]"
21010208,"[1, 0, 2, 1, 1]"
21010301,"[0, 1]"
21010310,"[2, 1, 0]"
21020101,"[2, 1, 0, 0, 1]"
21020105,"[1, 0]"
21020107,"[0, 2, 1]"
21020108,"[1, 0, 2]"
21020301,"[1, 0]"
21020302,[0]
21030101,[0]
21030106,"[1, 0, 2]"
21030116,"[1, 0, 2]"
21030117,"[1, 2, 0, 0]"
21030121,"[1, 0]"
21030201,"[0, 1]"
21030202,"[0, 1]"
21030204,"[2, 1, 0]"
22010100,"[0, 1, 2, 0, 0, 0, 0, 0]"
22010201,"[0, 0, 2, 1]"
22010202,"[2, 2, 0, 0, 2, 1]"
22010301,"[0, 1, 2]"
22010303,"[1, 0, 0, 2]"
22010306,[0]
22020101,"[2, 1, 0]"
22020104,[0]
22020108,[0]
22020201,"[1, 2, 0]"
22020203,"[2, 0, 0, 0, 1]"
22020204,"[0, 2, 2, 1]"
22020402,"[0, 1]"
22020403,"[1, 0]"
22030101,"[1, 2, 1, 0, 1, 0]"
22030104,"[0, 1]"
22030105,"[2, 1, 0, 1]"
22030108,"[0, 0, 2, 0, 1, 0]"
22030201,"[2, 0, 1]"
22030502,"[0, 1]"
22030605,[0]
22030701,"[1, 0]"
22030708,"[0, 2, 1]"
22030901,"[0, 0, 2, 1, 0]"
22040103,[0]
22040201,"[2, 1, 0]"
22040301,"[0, 1, 1, 2]"
22040303,"[2, 1, 0]"
22040304,"[2, 1, 0]"
22040305,"[0, 1]"
22040407,"[1, 0, 2]"
22040501,"[1, 1, 2, 0]"
