KALCODE,Result
05030204,"[0, 1, 2, 2]"
05030206,"[0, 1, 2, 0, 0]"
05030301,"[2, 0, 1, 0]"
05030302,"[2, 1, 0]"
05030304,"[1, 0, 2]"
05030305,"[2, 0, 0, 1, 0, 0]"
05030401,"[2, 1, 0, 0, 1, 0]"
05030402,"[2, 1, 1, 0, 1]"
05030403,"[2, 0, 1, 0, 0]"
05030501,"[2, 1, 0, 0, 0, 0]"
05030503,"[2, 1, 1, 0]"
05030507,"[0, 2, 0, 0, 1]"
06010101,"[1, 0, 2]"
06010103,"[1, 0, 0, 2]"
06010201,"[1, 0]"
06010206,"[1, 0]"
06020101,"[0, 1, 0, 2]"
06020102,"[1, 0, 2, 0, 0]"
06020104,"[0, 0, 1, 0, 2]"
06020201,"[0, 2, 1, 0]"
06020204,"[0, 2, 1]"
06030102,[0]
06040001,"[2, 1, 2, 2, 0, 2, 2]"
06040002,"[0, 1, 0, 0, 2]"
06040004,"[0, 2, 0, 0, 0, 1, 0]"
06040005,"[0, 1, 0, 0, 2]"
06040006,"[0, 2, 0, 0, 1]"
06040008,"[1, 2, 0]"
07010100,"[2, 2, 2, 1, 2, 2, 0, 0]"
07020101,"[0, 1, 0, 2, 2, 0]"
07020201,"[1, 0, 1, 1, 1, 1, 2]"
07030101,"[0, 1, 2]"
07030103,"[2, 0, 1, 2, 2, 2, 2]"
07030201,"[1, 0, 2]"
07030202,"[0, 2, 0, 0, 1]"
07030301,"[0, 1, 2, 1, 1, 1]"
07030302,"[2, 1, 0]"
07030305,"[0, 1]"
07030401,"[0, 2, 2, 1]"
07030403,"[1, 0, 2]"
07030501,"[1, 0, 1, 1, 1, 1, 2]"
07030503,"[0, 1, 2]"
07030601,"[1, 2, 0]"
07040101,"[2, 1, 0, 2, 2, 2, 2]"
07040102,"[0, 1, 1, 2, 1, 2]"
07040103,"[0, 2, 1, 1, 1]"
07040104,"[2, 0, 0, 0, 0, 0, 1]"
07040201,"[0, 1, 2, 1]"
07040202,"[2, 2, 0, 1]"
07040203,"[1, 2, 0, 2]"
07040301,"[0, 0, 0, 0, 0, 2, 1, 0, 0]"
07040302,"[2, 2, 1, 2, 0]"
07050101,"[1, 1, 1, 0, 2, 1]"
07050102,"[0, 0, 2, 1, 0]"
07050103,"[1, 2, 1, 0, 1]"
07050201,"[2, 2, 2, 2, 2, 2, 2, 0, 2, 1, 2]"
07050202,"[2, 0, 2, 0, 1]"
07050301,"[0, 0, 2, 0, 1]"
07050302,"[1, 0]"
07050303,"[2, 2, 0, 1, 2]"
07060101,"[0, 2, 0, 0, 1, 0, 0, 0]"
07060102,"[0, 1, 2, 0, 0]"
07060103,"[0, 2, 0, 0, 1, 0, 0, 0]"
07060104,"[0, 0, 1, 0, 2, 0, 0, 0, 0]"
07060201,"[1, 0, 0, 2, 1, 0, 0]"
07060202,"[2, 1, 2, 0, 2, 2]"
07060203,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
07060206,"[0, 2, 1, 1]"
07060301,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
07060302,"[2, 0, 1, 2, 2]"
07060303,"[1, 1, 1, 1, 2, 1, 0]"
07060304,"[1, 1, 0, 2]"
07070000,"[1, 0, 2]"
07080101,"[2, 0, 0, 2, 1, 1]"
07090101,"[1, 2, 0, 0, 0, 0, 0]"
07090103,"[0, 2, 1, 2, 2]"
07090104,"[1, 0, 0, 0, 2, 0, 0, 0]"
07090105,"[2, 0, 1, 1, 1]"
07090106,"[1, 0, 0, 2, 0, 0]"
07090107,"[1, 1, 2, 0, 1, 1, 1]"
07090201,"[2, 2, 1, 1, 0]"
07090202,"[1, 0, 1, 2]"
07090401,"[1, 0]"
07090501,"[1, 0]"
07090502,"[0, 2, 1, 0, 0, 0, 0]"
07090504,"[0, 0, 2, 1, 2]"
07090601,"[0, 1]"
07090701,"[1, 1, 1, 1, 0, 2]"
07090702,"[2, 1, 2, 2, 2, 0]"
07100101,"[0, 0, 2, 0, 0, 0, 1]"
07100201,"[1, 2, 0, 2]"
07100301,"[1, 2, 1, 1, 1, 0]"
07110101,"[1, 0, 2, 2, 0]"
07110301,"[2, 2, 2, 0, 1]"
07120101,"[1, 0, 1, 2, 1]"
07120201,"[2, 0, 0, 1, 0, 0, 0]"
07120301,"[0, 0, 0, 2, 1, 0, 0, 0, 2, 0]"
07120302,"[0, 1]"
07120303,"[2, 2, 2, 1, 0, 0]"
07120304,"[0, 0, 0, 2, 1, 0]"
07130101,"[1, 2, 1, 0, 1, 1, 1, 1, 1]"
07130102,"[0, 2, 0, 0, 1, 0, 0]"
07130201,"[2, 0, 0, 0, 1, 0]"
07130203,"[1, 1, 2, 1, 1, 0, 1]"
07130204,"[0, 0, 2, 0, 1]"
07130205,"[0, 1, 0, 2]"
07130301,"[0, 1, 2, 0]"
07130302,"[1, 2, 0, 0, 2, 2]"
07130305,"[2, 0, 0, 1, 0, 0, 0]"
07140101,"[0, 2, 0, 0, 1]"
07140201,"[1, 1, 0, 2]"
07140204,"[0, 0, 0, 0, 0, 1, 2]"
07140301,"[2, 0, 0, 1, 0]"
07140302,"[1, 1, 1, 0, 1, 1, 2, 1, 1]"
07140303,"[1, 1, 0, 2, 1]"
08010101,"[2, 0, 1, 0, 0, 0]"
08010102,"[0, 1]"
08010111,"[1, 0]"
08010201,"[0, 1, 1, 1, 2, 1]"
08010202,"[0, 1, 0, 0, 2, 0]"
08010203,"[0, 2, 1, 2]"
08010401,"[1, 2, 1, 0]"
08010501,[0]
08020101,"[2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
08020102,"[2, 0, 2, 1]"
08020103,"[1, 0, 1, 2, 1]"
08020106,"[1, 2, 1, 0, 1, 1]"
08020201,"[1, 0, 0, 2]"
08020203,"[0, 1]"
08020205,"[0, 1, 1, 2, 1, 1]"
08020206,"[1, 0, 2, 0, 0, 0]"
08020301,"[1, 2, 1, 0]"
08020302,"[0, 2, 1]"
08020303,"[0, 0, 1, 2, 0]"
08020304,"[1, 0]"
08020401,"[2, 2, 1, 0, 2]"
08020402,"[0, 1, 0, 2, 0]"
08020403,"[0, 2, 1, 0, 1, 1]"
08020404,"[2, 0, 1]"
08020405,"[1, 1, 0, 1, 2]"
08030101,"[0, 2, 0, 0, 0, 0, 1]"
08030104,"[0, 2, 1]"
08030105,"[1, 2, 0]"
08030201,"[2, 0, 1, 1]"
08030202,"[0, 0, 1, 2, 0]"
08030203,"[1, 1, 1, 0, 2]"
08030204,"[0, 2, 0, 0, 1, 0]"
08030205,"[1, 0, 2, 0, 0]"
08030301,"[1, 0, 2, 0]"
08030302,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
08030303,"[2, 2, 1, 0, 2]"
09010101,"[1, 2, 2, 2, 0, 2]"
09010106,"[2, 0, 1]"
09010109,"[0, 0, 2, 1]"
09010110,[0]
09010201,"[1, 0, 2]"
09010202,"[1, 2, 0]"
09010204,"[0, 1, 2, 0]"
09010205,"[0, 1, 0, 2]"
09010301,"[1, 0]"
09010408,[0]
09010409,"[1, 0]"
09010410,"[1, 0]"
09010415,[0]
09010501,[0]
09010601,"[1, 2, 0]"
09010604,"[1, 1, 0, 2]"
09010605,"[0, 1, 2, 1]"
09010607,"[1, 0, 2, 1, 1]"
09010701,"[2, 0, 1]"
09020101,"[1, 0, 0, 0, 2]"
09020103,"[0, 0, 2, 0, 1, 0]"
09020106,"[2, 0, 1]"
09020108,"[2, 1, 0, 0]"
09020110,"[0, 0, 2, 1]"
09020201,"[2, 0, 1, 0, 0, 0]"
09020202,"[0, 1]"
09020301,"[1, 0]"
09020401,"[0, 0, 2, 1]"
09020402,"[1, 2, 0, 0, 0, 2]"
10010101,"[1, 2, 0, 0, 0, 0]"
10010102,"[2, 0, 1, 1, 1]"
10010103,"[2, 1, 0, 0, 1]"
10010106,"[2, 1, 0, 0, 1]"
10010107,"[1, 2, 0]"
10010108,"[0, 0, 2, 1]"
10010201,"[0, 2, 0, 0, 1, 2]"
10010202,"[0, 0, 1, 2]"
10010204,"[0, 1, 0, 2, 1]"
10020101,"[2, 0, 1]"
10020102,"[2, 0, 1, 0]"
10020103,"[1, 2, 2, 1, 0, 1, 1]"
10020104,"[0, 1, 0, 0, 2, 1]"
10020105,"[0, 2, 1, 0]"
10020106,"[0, 0, 1, 2, 1]"
10020107,"[1, 0, 2]"
10020109,"[2, 0, 1]"
10020110,"[1, 0, 2, 1]"
10020113,"[2, 0, 2, 1]"
10020114,"[1, 1, 2, 0]"
10020201,"[1, 1, 2, 0]"
10020206,[0]
10020211,"[0, 1]"
10030101,"[1, 2, 1, 1, 1, 1, 1, 1, 0]"
10030102,"[2, 1, 0]"
10030201,"[0, 1, 0, 1, 0, 0, 0, 2, 0, 0]"
10030202,"[1, 0, 0, 2]"
10030203,"[2, 0, 0, 0, 0, 1]"
10030204,"[2, 0, 0, 0, 0, 0, 1, 0]"
10030301,"[1, 1, 2, 0]"
10030303,"[2, 0, 1, 0]"
10030401,"[2, 0, 0, 0, 1, 0, 1]"
10030404,"[0, 2, 0, 0, 1]"
10030406,"[0, 1, 1, 0, 2, 1]"
10030407,"[2, 1, 0, 0]"
10030501,"[2, 0, 1, 0, 2, 2]"
10030503,"[0, 1, 2, 1, 1]"
10030504,"[1, 0, 0, 2]"
10030505,"[0, 2, 1, 0, 0]"
10040101,"[1, 0, 0, 2, 0]"
10040102,"[0, 1, 2, 0]"
10040104,"[0, 1, 2, 0, 0]"
10040105,"[0, 0, 2, 1, 0]"
10040106,"[0, 1, 1, 2, 1]"
10040108,"[1, 1, 2, 0]"
10040110,"[1, 2, 0, 0]"
10040111,"[0, 1, 1, 2, 1]"
10040201,"[0, 0, 2, 0, 1, 0, 0]"
10040205,"[1, 0]"
10040206,"[1, 0, 0, 2]"
11010101,"[0, 0, 2, 0, 1, 0, 0]"
11010201,"[0, 1, 2, 1]"
11010204,"[0, 2, 0, 1]"
11010206,"[2, 1, 0]"
11010208,"[2, 0, 1, 0, 1]"
11010301,"[0, 2, 1]"
11010401,"[0, 1, 2]"
11010403,"[0, 2, 1]"
11010501,"[2, 0, 1, 2, 2, 0, 0]"
11010502,"[1, 0]"
11010503,"[2, 2, 0, 1, 0]"
11010504,"[2, 0, 1, 2, 0]"
11010601,"[1, 2, 0, 0, 1]"
11020101,"[0, 0, 0, 2, 1]"
11020201,"[0, 1, 2]"
11020202,"[1, 2, 0]"
11020203,"[2, 0, 1]"
11020205,"[2, 1, 1, 0]"
11020301,"[0, 2, 0, 0, 2, 1]"
11020302,"[0, 1, 2, 0]"
11020303,"[0, 0, 0, 1, 0, 0, 2]"
11020304,"[0, 2, 0, 0, 1]"
11020305,"[0, 2, 2, 1]"
11020306,"[0, 0, 0, 0, 2, 0, 0, 1]"
11030101,"[0, 2, 0, 1]"
11030201,"[2, 1, 0, 2, 1]"
11030301,"[1, 1, 0, 2]"
11030304,"[2, 0, 1]"
11030401,"[2, 0, 2, 2, 1]"
11030402,"[2, 2, 1, 0]"
11030403,"[1, 0, 0, 1, 2, 0]"
11030404,"[1, 1, 1, 1, 0, 2, 1]"
12010101,"[2, 1, 2, 2, 0, 2]"
12010401,"[0, 0, 2, 1, 0]"
12010402,"[0, 0, 0, 1, 2]"
12010601,"[0, 0, 2, 0, 1, 0]"
12010605,"[2, 1, 0, 1, 0, 1]"
12010606,"[1, 0, 1, 2]"
12010609,"[1, 0, 2]"
12020101,"[2, 0, 1, 0, 1]"
12020103,"[0, 2, 1]"
12020202,"[0, 1, 2, 0]"
12020203,"[2, 1, 0, 2]"
12020204,"[2, 1, 0, 0]"
12020301,"[0, 1]"
12020303,"[0, 1, 0, 2]"
12020401,"[2, 0, 1, 2, 0]"
12030101,"[1, 0, 0, 2, 0, 2, 0]"
12030104,"[0, 0, 2, 0, 1]"
12030202,"[2, 0, 2, 1]"
12030206,"[1, 0]"
12030301,"[0, 1, 2, 0]"
12030302,"[2, 1, 0, 1, 0]"
12030303,"[1, 0, 2]"
12030307,"[0, 1, 2, 2]"
12030308,"[0, 1, 2, 0]"
12030401,"[1, 0, 0, 0, 0, 0, 2]"
12030405,"[1, 0, 0, 0, 2]"
12030407,"[0, 1, 2]"
12040101,"[2, 1, 0, 0]"
12040103,"[2, 0, 1]"
12040106,"[0, 1, 2]"
12040107,"[1, 2, 0]"
12040108,"[2, 2, 0, 0, 1]"
12040201,"[1, 2, 0, 0]"
12040202,"[1, 2, 0, 1, 1]"
12040207,"[2, 1, 1, 0, 0, 1]"
12040208,"[1, 0, 2, 1]"
12050101,"[2, 2, 2, 0, 0, 2, 1, 0]"
12050103,"[1, 1, 2, 0, 1]"
12050105,"[2, 0, 1, 0, 0, 0]"
12050107,"[0, 2, 0, 0, 1, 0, 0]"
12050108,"[1, 2, 0, 1]"
12050109,"[2, 1, 1, 0]"
12050201,"[0, 0, 1, 2, 1, 2, 0, 0]"
12050203,"[0, 0, 0, 1, 2, 2]"
12050204,"[1, 1, 2, 0, 1, 1]"
12050205,"[2, 1, 0]"
12050206,"[0, 2, 1, 1, 1]"
12050301,[0]
12050305,"[0, 2, 1]"
12050306,"[0, 1, 1, 2]"
12060101,"[2, 0, 0, 1, 0]"
12060105,"[0, 2, 0, 2, 0, 1]"
12060107,"[1, 0, 2, 0, 0, 0]"
12060108,"[2, 0, 0, 0, 1, 1, 0]"
12060113,"[0, 1, 1, 1, 2]"
12060201,"[0, 1]"
12070101,"[0, 2, 1, 2, 2, 0, 2, 0, 0, 0]"
12070102,"[2, 0, 1, 1, 1, 1]"
12070103,"[1, 2, 0, 0, 0]"
12070105,"[0, 1]"
12070401,"[0, 1, 2]"
12070403,"[2, 0, 1]"
12070405,"[2, 0, 0, 0, 1]"
12070406,"[1, 0, 2, 2, 0, 0]"
12070407,"[2, 1, 1, 1, 0]"
12070501,"[2, 0, 1, 0]"
12070503,"[2, 0, 1]"
12070505,"[1, 2, 0, 0]"
12070506,"[0, 2, 1]"
13010101,"[0, 0, 1, 0, 0, 0, 0, 2]"
13010102,"[2, 0, 0, 1, 0]"
13010103,"[0, 0, 0, 0, 2, 1]"
13010104,"[0, 0, 2, 1, 0, 0]"
13010105,"[0, 0, 0, 0, 2, 0, 1]"
13010107,"[0, 0, 0, 0, 0, 0, 2, 1]"
13010201,"[0, 1, 2, 0, 0, 0]"
13010204,"[1, 2, 0]"
13010301,"[0, 0, 2, 1]"
13010302,"[2, 1, 0]"
13010401,"[0, 2, 1]"
13020101,"[0, 0, 0, 1, 2]"
13020102,"[0, 1]"
13020103,"[1, 2, 0]"
13020104,"[0, 2, 1]"
13020107,"[0, 1, 2, 0, 0]"
13020108,"[1, 0]"
13020201,"[2, 2, 2, 0, 1, 1]"
13020202,"[1, 0, 2, 0, 1]"
13020203,"[0, 0, 2, 1, 1]"
13020204,"[0, 0, 0, 2, 1]"
13020301,"[1, 1, 1, 1, 1, 0, 2, 1]"
13020302,"[2, 0, 1]"
13030101,"[0, 1, 1, 1, 2, 1]"
13030102,"[0, 1, 2, 0]"
13030103,"[0, 1]"
13030104,"[1, 2, 0, 2]"
13030106,"[0, 2, 1, 1]"
13030107,"[1, 0, 2, 2]"
13030108,"[2, 1, 0]"
13030203,"[0, 1]"
13030205,[0]
13030206,"[1, 0, 2]"
13040101,"[0, 0, 2, 1]"
13040102,"[2, 2, 1, 0]"
13040104,"[0, 1, 2]"
13040106,"[0, 1]"
13040107,"[2, 2, 0, 1, 2]"
13040108,"[2, 1, 0, 0]"
13040109,"[1, 0, 2]"
13040201,"[1, 2, 0]"
13040202,"[0, 1, 2]"
13040203,"[0, 0, 2, 1]"
13040205,"[0, 0, 0, 2, 0, 1, 0]"
13040301,"[2, 2, 1, 2, 1, 0]"
13040302,"[2, 0, 2, 1]"
13040305,"[1, 1, 0, 2]"
13040306,"[1, 1, 1, 0, 2]"
13050101,"[2, 0, 1]"
13050102,"[0, 1, 0, 2]"
13050104,"[1, 0, 2, 0, 0]"
13050201,"[0, 1, 2]"
13050202,"[1, 2, 2, 0]"
14010101,"[0, 2, 2, 2, 1, 2, 2]"
14010105,"[2, 0, 1]"
14010107,"[1, 0]"
14010108,"[0, 2, 1]"
14010109,"[2, 1, 2, 0]"
14010110,"[2, 1, 0, 1]"
14010111,[0]
14010115,[0]
14010117,"[0, 2, 1, 1]"
14010201,"[0, 1]"
14010301,"[1, 0, 2, 0]"
14010303,"[0, 1]"
14010401,"[2, 1, 1, 0, 1]"
14010406,[0]
14010503,"[0, 2, 1]"
14010504,[0]
14010507,"[2, 2, 1, 2, 0]"
14010510,"[0, 1]"
14010512,"[0, 1]"
14030102,[0]
14030201,"[0, 1]"
14030202,"[1, 0]"
14030203,"[0, 1]"
14030401,"[0, 1]"
14030501,"[1, 0]"
14040101,"[2, 2, 1, 0]"
14040102,"[2, 1, 0]"
14040104,"[1, 0]"
14040108,[0]
14040110,"[1, 0]"
14040201,"[1, 2, 2, 0]"
14040203,"[0, 0, 2, 1]"
14040301,"[1, 0]"
15010101,"[2, 0, 1, 1]"
15010102,"[2, 0, 2, 1]"
15010103,"[1, 0, 2]"
15010104,"[0, 1]"
15010109,"[1, 0, 1, 2]"
15010112,"[0, 2, 1]"
15010405,[0]
15010503,[0]
15010706,"[1, 0]"
15010801,"[2, 1, 0, 1]"
15010804,"[0, 1]"
15020101,"[0, 1, 2, 0]"
15020201,"[0, 2, 1]"
16010101,"[2, 0, 0, 0, 1, 0, 0]"
16010201,"[1, 0, 0, 0, 2, 0]"
16010204,"[2, 0, 1, 0]"
16010208,"[0, 2, 1]"
16010301,"[2, 1, 0, 0]"
16010303,"[0, 1]"
16010401,"[1, 0]"
16010801,"[1, 2, 0, 0, 0]"
16010802,"[1, 2, 0, 2]"
16010803,"[0, 1, 2, 1]"
16010901,"[0, 2, 0, 1]"
16020101,[0]
17010101,"[0, 1]"
17010107,"[2, 1, 0, 0]"
17010214,"[0, 1]"
17010216,"[0, 1]"
17010301,"[1, 2, 1, 0]"
17010302,"[0, 2, 1]"
17010303,"[2, 0, 1]"
17010306,"[0, 1, 2]"
17010308,[0]
17010309,"[2, 0, 1, 1]"
17010401,"[0, 2, 0, 2, 1]"
17010403,"[2, 1, 0]"
17010411,"[0, 1, 0, 2]"
17010412,"[0, 1, 2]"
17020101,"[2, 1, 0]"
17020102,"[0, 2, 0, 1]"
17020105,"[0, 2, 1]"
17020207,[0]
17020208,[0]
17020601,"[2, 0, 1]"
17020602,"[0, 1, 2, 0]"
17020606,"[0, 1, 2]"
17030101,"[0, 1]"
17030111,"[0, 1]"
18010101,"[0, 0, 1, 2, 0, 0, 0, 0, 2]"
18010103,"[0, 2, 0, 0, 1]"
18010104,"[0, 2, 0, 1, 0, 0]"
18010105,"[1, 0, 2, 0, 0]"
18010201,"[0, 2, 0, 0, 1, 0, 0, 0]"
18010202,"[0, 2, 1, 0, 2, 2]"
18010203,"[0, 1, 0, 2]"
18010301,"[2, 0, 1, 2, 2]"
18010501,"[0, 1, 0, 0, 2, 0, 0]"
18010505,"[0, 1]"
18010508,"[1, 2, 0, 1]"
18010510,"[0, 1, 2, 0, 0]"
18010512,"[0, 2, 1]"
18010602,"[0, 1, 2]"
18010603,"[1, 0]"
18020101,"[0, 1]"
18030107,[0]
18030118,"[0, 1]"
18030201,[0]
18040101,"[1, 2, 0]"
18040213,[0]
18050101,"[0, 2, 2, 1]"
18050102,"[0, 1, 2]"
18050106,"[2, 0, 0, 1, 0, 0]"
18050108,"[0, 1]"
18050109,"[0, 1]"
18050201,"[1, 0, 2]"
18050202,"[2, 1, 0]"
18050401,[0]
18060101,"[1, 0]"
18060114,"[0, 1]"
18070101,[0]
18070201,[0]
18070202,[0]
18080101,"[1, 0]"
18080107,"[0, 1, 2]"
18080201,[0]
19010101,"[0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
19010103,"[0, 1, 2, 1]"
19010104,"[2, 1, 0, 0]"
19010201,"[2, 2, 0, 1, 1]"
19010301,"[0, 1, 2]"
19010302,"[0, 0, 2, 0, 1]"
19010304,"[1, 0]"
19010403,"[0, 1, 2]"
19010501,"[1, 1, 2, 1, 0]"
19010503,"[2, 0, 1, 1]"
19010505,"[1, 0, 2, 0, 0]"
19020101,"[0, 2, 1]"
19020201,"[2, 1, 0]"
19020204,"[2, 0, 1]"
19030102,[0]
19030111,"[1, 0]"
19030201,"[1, 0]"
19040101,"[2, 1, 1, 0, 1]"
19040201,"[1, 1, 2, 0]"
19040202,"[0, 0, 1, 2, 1]"
19040205,"[2, 1, 1, 0]"
19040206,"[1, 0, 0, 0, 2, 0]"
19040207,"[1, 2, 0]"
19040401,"[0, 1, 2, 2, 2]"
20010101,"[0, 2, 1]"
20010104,"[1, 0, 2, 0]"
20010107,"[0, 1, 2]"
20010109,"[0, 1]"
20010203,"[1, 0]"
20010205,"[1, 0]"
20010501,"[1, 2, 2, 0]"
20010503,"[0, 1]"
20020101,"[2, 1, 0]"
20020108,"[1, 0]"
20020109,"[2, 0, 1]"
20020110,"[1, 2, 0]"
20020111,"[0, 1]"
20020112,"[2, 0, 1, 0]"
20020119,"[0, 1]"
20020201,"[1, 0]"
20020202,"[1, 0]"
20030101,"[1, 0]"
20030140,"[0, 1]"
20030204,[0]
21010101,"[0, 2, 1]"
21010103,"[0, 0, 2, 0, 1]"
21010104,"[1, 2, 0]"
21010105,"[1, 0]"
21010201,"[1, 2, 0]"
21010208,"[2, 1, 0, 0, 0]"
21010301,"[1, 0]"
21010310,"[1, 2, 0]"
21020101,"[1, 2, 1, 0, 0]"
21020105,"[1, 0]"
21020107,"[0, 1, 2]"
21020108,"[1, 2, 0]"
21020301,"[0, 1]"
21020302,[0]
21030101,[0]
21030106,"[2, 0, 1]"
21030116,"[2, 0, 1]"
21030117,"[2, 1, 0, 0]"
21030121,"[0, 1]"
21030201,"[0, 1]"
21030202,"[0, 1]"
21030204,"[2, 1, 0]"
22010100,"[1, 2, 1, 0, 1, 1, 1, 1]"
22010201,"[0, 1, 2, 2]"
22010202,"[2, 0, 1, 1, 1, 1]"
22010301,"[1, 2, 0]"
22010303,"[0, 0, 2, 1]"
22010306,[0]
22020101,"[2, 0, 1]"
22020104,[0]
22020108,[0]
22020201,"[1, 0, 2]"
22020203,"[1, 1, 2, 1, 0]"
22020204,"[2, 0, 0, 1]"
22020402,"[1, 0]"
22020403,"[1, 0]"
22030101,"[2, 2, 2, 1, 2, 0]"
22030104,"[1, 0]"
22030105,"[0, 1, 0, 2]"
22030108,"[0, 0, 2, 0, 1, 0]"
22030201,"[2, 0, 1]"
22030502,"[1, 0]"
22030605,[0]
22030701,"[1, 0]"
22030708,"[2, 1, 0]"
22030901,"[2, 0, 2, 1, 0]"
22040103,[0]
22040201,"[0, 1, 2]"
22040301,"[0, 1, 1, 2]"
22040303,"[2, 0, 1]"
22040304,"[2, 1, 0]"
22040305,"[0, 1]"
22040407,"[0, 2, 1]"
22040501,"[0, 0, 2, 1]"
22040502,"[0, 0, 2, 1, 0, 0]"
22040503,"[0, 2, 1]"
